"Source:","Y:\1wd\project\open\211125_Chicksi_IoT\GitHubRepository_ChicksiIoT\PCB_Creation\FeasibilityPCB_production\GPIOExpander\220217_GPIOExpanderAW9523\220217_GPIOExpanderAW9523.kicad_sch"
"Date:","21.02.2022 08:28:28"
"Tool:","Eeschema (6.0.2)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","53"

"Individual Components:"

"","","R11","10k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","ERJ-6GEYJ103V ","",""
"","","R12","10k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","ERJ-6GEYJ103V ","",""
"","","R13","10k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","ERJ-6GEYJ103V ","",""
"","","R14","220","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","ERJ-U06J221V","",""
"","","R15","220","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","ERJ-U06J221V","",""
"","","R16","220","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","ERJ-U06J221V","",""
"","","R17","220","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","ERJ-U06J221V","",""
"","","R18","220","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","ERJ-U06J221V","",""
"","","R19","220","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","ERJ-U06J221V","",""
"","","R20","220","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","ERJ-U06J221V","",""
"","","R21","220","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","ERJ-U06J221V","",""
"","","R22","220","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","ERJ-U06J221V","",""
"","","SW1","SW_Push","Switch:SW_Push","SamacSys_Parts:314375650","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Customer+Drawing%7F2-1437565-7%7FV%7Fpdf%7FEnglish%7FENG_CD_2-1437565-7_V.pdf%7F3-1437565-0","","","","3-1437565-0 ","","https://componentsearchengine.com/part-view/3-1437565-0/TE%20Connectivity"
"","","SW2","SW_Push","Switch:SW_Push","SamacSys_Parts:314375650","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Customer+Drawing%7F2-1437565-7%7FV%7Fpdf%7FEnglish%7FENG_CD_2-1437565-7_V.pdf%7F3-1437565-0","","","","3-1437565-0 ","","https://componentsearchengine.com/part-view/3-1437565-0/TE%20Connectivity"
"","","SW3","SW_Push","Switch:SW_Push","SamacSys_Parts:314375650","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Customer+Drawing%7F2-1437565-7%7FV%7Fpdf%7FEnglish%7FENG_CD_2-1437565-7_V.pdf%7F3-1437565-0","","","","3-1437565-0 ","","https://componentsearchengine.com/part-view/3-1437565-0/TE%20Connectivity"
"","","SW4","SW_Push","Switch:SW_Push","SamacSys_Parts:314375650","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Customer+Drawing%7F2-1437565-7%7FV%7Fpdf%7FEnglish%7FENG_CD_2-1437565-7_V.pdf%7F3-1437565-0","","","","3-1437565-0 ","","https://componentsearchengine.com/part-view/3-1437565-0/TE%20Connectivity"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Description","Height","Manufacturer_Name","Manufacturer_Part_Number","PartNumber","Source"
"1","1","C1","10µF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","LMK212ABJ106KG8T","",""
"2","1","C2","0.1µF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","C0805C104K5RAC7411","C0805C104K5RAC7411",""
"3","7","D1, D2, D3, D4, D5, D9, D13","Green","Device:LED","LED_SMD:LED_0805_2012Metric","~","","","","APTD2012LZGCK","",""
"4","1","D6","Orange","Device:LED","LED_SMD:LED_0805_2012Metric","~","","","","APT2012LSECK/J4-PRV","",""
"5","2","D7, D11","Blue","Device:LED","LED_SMD:LED_0805_2012Metric","~","","","","APTD2012LVBC/D","",""
"6","2","D8, D12","Red","Device:LED","LED_SMD:LED_0805_2012Metric","~","","","","APTD2012LSURCK","",""
"7","1","D10","yellow","Device:LED","LED_SMD:LED_0805_2012Metric","~","","","","APTD2012LSYCK","",""
"8","1","IC1","AW9523BTQR","SamacSys_Parts:AW9523BTQR","SamacSys_Parts:QFN50P400X400X80-25N-D","https://www.alldatasheet.net/datasheet-pdf/pdf/1148543/AWINIC/AW9523BTQR.html","16 MULTI-FUNCTION LED DRIVER AND GPIO CONTROLLER WITH I2C INTERFACE","0.8","AWINIC","AW9523BTQR","",""
"9","1","J1","PWR_Bottom1","Connector_Generic:Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","","","","",""
"10","1","J2","PWR_Bottom2","Connector_Generic:Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","","","","",""
"11","2","J3, J4","P0_0-07","Connector_Generic:Conn_01x08","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","~","","","","M20-9990846 ","",""
"12","1","J5","I2C ComPort","Connector_Generic:Conn_01x06","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","~","","","","","",""
"13","1","J6","PWR_Top","Connector_Generic:Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","","","","",""
"14","1","J7","Conn_02x08_Odd_Even","Connector_Generic:Conn_02x08_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x08_P2.54mm_Vertical","~","","","","5-146265-4 ","",""
"15","2","J8, J9","Conn_01x08_Male","Connector:Conn_01x08_Male","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","~","","","","M20-9990846 ","",""
"16","2","JP1, JP2","SolderJumper_2_Open","Jumper:SolderJumper_2_Open","Jumper:SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm","~","","","","","",""
"17","13","R1, R3, R5, R9, R14, R15, R16, R17, R18, R19, R20, R21, R22","220","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","ERJ-U06J221V","",""
"18","9","R2, R4, R6, R7, R8, R10, R11, R12, R13","10k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","ERJ-6GEYJ103V ","",""
"19","4","SW1, SW2, SW3, SW4","SW_Push","Switch:SW_Push","SamacSys_Parts:314375650","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Customer+Drawing%7F2-1437565-7%7FV%7Fpdf%7FEnglish%7FENG_CD_2-1437565-7_V.pdf%7F3-1437565-0","","","","3-1437565-0 ","","https://componentsearchengine.com/part-view/3-1437565-0/TE%20Connectivity"
